"BLANK offers the fastest and simplest way to run a container in Azure, without having to manage any virtual machines and without having to adopt a higher-level service. A great solution for any scenario that can operate in isolated containers, including simple applications, task automation, and build jobs.","Azure
Container Instances (ACI)","AZ900,Definition"
"BLANK an open source Container orchestration system for automating application deployment, scaling and management. BLANK simplifies deploying a managed Kubernetes cluster in Azure by offloading the operational overhead to Azure. As a hosted service, Azure handles critical tasks, like health monitoring and maintenance; you only manage and maintain the agent nodes.",Azure Kubernetes Service (AKS),"AZ900,Definition"
"Azure Platform-as-a-Service (PaaS) offering that is based on the community edition of a popular open-source database, with some of the advanced features of the Oracle enterprise edition","Azure Database for
MySQL","DP900,AZ900,Definition"
"BLANK is a completely self-contained unit of software. All the code, programs and applications that the software relies on are all inside the BLANK",Container,"AZ900,Definition"
"BLANK a service that keeps track of current valid Container images, manages files and artifacts with a fully managed Azure service",Azure Container Registry,"AZ900,Definition"
"BLANK is a serverless compute solution that allows you to write less code, maintain less infrastructure, and save on costs. Instead of worrying about deploying and maintaining servers, the cloud infrastructure provides all the up-to-date resources needed to keep your applications running. You focus on the pieces of code that matter most to you, and BLANK handles the rest.",Azure Functions,"AZ900,Definition"
"BLANK is the original location of the files used in a CDN, such as a web application.",Origin Server,"AZ900,Definition"
BLANK a four legged furry mammal,cat,AZ900
"When creating a VNet, you must specify a custom private IP BLANK using public and private (RFC 1918) addresses. Azure assigns resources in a virtual network a private IP address from the BLANK that you assign. For example, if you deploy a VM in a VNet with address space, 10.0.0.0/16, the VM will be assigned a private IP like 10.0.0.4.",Address Space,FactAZ900
"BLANK is a cloud-based identity and access management service. This service helps your employees access external resources, such as Microsoft 365, the Azure portal, and thousands of other SaaS applications. It also helps them access internal resources like apps on your corporate intranet network, along with any cloud apps developed for your own organization.",Azure Active Directory (AAD),"Definition,AZ900"
"BLANK A dedicated and trusted instance of Azure AD. It is is automatically created when your organization signs up for a Microsoft cloud service subscription. These subscriptions include Microsoft Azure, Microsoft Intune, or Microsoft 365. It represents a single organization.",Azure Active Directory Tenant,AZ900
